date,min_edst,max_kp,category
2014-01-01,nan,3.67,missing
2014-01-02,nan,4.33,missing
2014-01-03,nan,3.0,missing
2014-01-04,-25.62890625,2.33,quiet
2014-01-05,-13.6484375,1.33,quiet
2014-01-06,nan,1.33,missing
2014-01-07,-14.2841796875,3.33,quiet
2014-01-08,-31.48828125,3.33,disturbance
2014-01-09,-33.345703125,3.0,disturbance
2014-01-10,-22.8671875,2.0,quiet
2014-01-11,-16.83203125,2.33,quiet
2014-01-12,nan,3.33,missing
2014-01-13,nan,3.0,missing
2014-01-14,-20.1875,3.33,quiet
2014-01-15,-18.740234375,1.67,quiet
2014-01-16,-11.861328125,1.0,quiet
2014-01-17,-14.166666666666666,1.67,quiet
2014-01-18,nan,1.0,missing
2014-01-19,nan,0.33,missing
2014-01-20,nan,0.67,missing
2014-01-21,nan,2.67,missing
2014-01-22,nan,3.33,missing
2014-01-23,nan,2.33,missing
2014-01-24,nan,3.0,missing
2014-01-25,nan,3.0,missing
2014-01-26,-31.779296875,2.67,disturbance
2014-01-27,-21.548828125,1.67,quiet
2014-01-28,nan,2.33,missing
2014-01-29,nan,2.0,missing
2014-01-30,nan,2.33,missing
2014-01-31,nan,0.67,missing
2014-02-01,nan,2.67,missing
2014-02-02,-26.669921875,2.0,quiet
2014-02-03,nan,2.33,missing
2014-02-04,-17.8251953125,1.67,quiet
2014-02-05,nan,2.0,missing
2014-02-06,nan,3.0,missing
2014-02-07,nan,4.0,missing
2014-02-08,-35.660807291666664,4.67,disturbance
2014-02-09,-33.1669921875,4.0,disturbance
2014-02-10,nan,3.67,missing
2014-02-11,nan,2.67,missing
2014-02-12,nan,3.0,missing
2014-02-13,nan,0.67,missing
2014-02-14,nan,1.67,missing
2014-02-15,nan,4.33,missing
2014-02-16,nan,5.0,missing
2014-02-17,nan,2.33,missing
2014-02-18,nan,2.67,missing
2014-02-19,nan,6.33,missing
2014-02-20,nan,6.0,missing
2014-02-21,nan,3.0,missing
2014-02-22,nan,4.33,missing
2014-02-23,nan,4.33,missing
2014-02-24,nan,2.0,missing
2014-02-25,-46.7353515625,2.0,disturbance
2014-02-26,nan,1.67,missing
2014-02-27,-131.20638020833334,5.33,disturbance
2014-02-28,-79.65234375,4.0,disturbance
2014-03-01,nan,2.67,missing
2014-03-02,nan,3.33,missing
2014-03-03,nan,2.33,missing
2014-03-04,-10.96875,2.33,quiet
2014-03-05,-131.880859375,2.0,disturbance
2014-03-06,-85.419921875,2.67,disturbance
2014-03-07,-36.13671875,1.0,disturbance
2014-03-08,-30.685267857142858,0.67,disturbance
2014-03-09,-20.847005208333332,0.67,quiet
2014-03-10,-67.06591796875,2.0,disturbance
2014-03-11,nan,1.0,missing
2014-03-12,-37.244791666666664,2.67,disturbance
2014-03-13,-47.841796875,4.0,disturbance
2014-03-14,-33.645089285714285,2.0,disturbance
2014-03-15,nan,2.0,missing
2014-03-16,-22.69921875,0.67,quiet
2014-03-17,-35.134765625,1.33,disturbance
2014-03-18,nan,1.67,missing
2014-03-19,-23.734375,1.67,quiet
2014-03-20,nan,2.33,missing
2014-03-21,-51.117838541666664,3.0,disturbance
2014-03-22,-31.2109375,2.0,disturbance
2014-03-23,-53.16162109375,2.0,disturbance
2014-03-24,-14.03515625,1.67,quiet
2014-03-25,-23.486979166666668,3.33,quiet
2014-03-26,-45.10400390625,3.67,disturbance
2014-03-27,-27.401506696428573,2.0,quiet
2014-03-28,-37.042317708333336,3.0,disturbance
2014-03-29,-31.693359375,3.0,disturbance
2014-03-30,nan,2.0,missing
2014-03-31,-31.012834821428573,2.67,disturbance
2014-04-01,-30.361607142857142,2.33,disturbance
2014-04-02,-17.5380859375,1.33,quiet
2014-04-03,nan,2.0,missing
2014-04-04,-49.4013671875,2.33,disturbance
2014-04-05,nan,3.67,missing
2014-04-06,-15.78125,2.0,quiet
2014-04-07,-34.392578125,4.0,disturbance
2014-04-08,nan,2.0,missing
2014-04-09,-13.912109375,1.67,quiet
2014-04-10,nan,0.67,missing
2014-04-11,nan,3.67,missing
2014-04-12,nan,4.67,missing
2014-04-13,nan,4.0,missing
2014-04-14,nan,3.0,missing
2014-04-15,-23.65625,2.33,quiet
2014-04-16,nan,2.0,missing
2014-04-17,-40.0234375,3.67,disturbance
2014-04-18,nan,2.67,missing
2014-04-19,nan,3.67,missing
2014-04-20,nan,5.0,missing
2014-04-21,nan,4.0,missing
2014-04-22,nan,1.67,missing
2014-04-23,nan,2.0,missing
2014-04-24,nan,3.33,missing
2014-04-25,nan,3.33,missing
2014-04-26,nan,2.33,missing
2014-04-27,nan,1.67,missing
2014-04-28,nan,2.33,missing
2014-04-29,-21.360026041666668,3.33,quiet
2014-04-30,-79.14375,4.0,disturbance
2014-05-01,-38.607421875,2.33,disturbance
2014-05-02,-51.77734375,1.67,disturbance
2014-05-03,-42.060546875,3.0,disturbance
2014-05-04,-46.6328125,4.33,disturbance
2014-05-05,-32.56640625,3.0,disturbance
2014-05-06,nan,0.67,missing
2014-05-07,-9.234049479166666,2.0,quiet
2014-05-08,nan,4.67,missing
2014-05-09,-51.182291666666664,3.0,disturbance
2014-05-10,-20.1962890625,3.0,quiet
2014-05-11,-29.140625,3.67,quiet
2014-05-12,-22.3359375,2.33,quiet
2014-05-13,nan,1.0,missing
2014-05-14,nan,2.0,missing
2014-05-15,-27.445963541666668,1.67,quiet
2014-05-16,nan,2.0,missing
2014-05-17,nan,1.33,missing
2014-05-18,nan,1.67,missing
2014-05-19,nan,1.67,missing
2014-05-20,nan,1.33,missing
2014-05-21,nan,0.33,missing
2014-05-22,nan,3.33,missing
2014-05-23,nan,5.33,missing
2014-05-24,nan,1.67,missing
2014-05-25,nan,1.33,missing
2014-05-26,nan,1.0,missing
2014-05-27,nan,1.67,missing
2014-05-28,nan,1.33,missing
2014-05-29,nan,2.67,missing
2014-05-30,nan,4.33,missing
2014-05-31,nan,1.0,missing
2014-06-01,-57.75732421875,1.0,disturbance
2014-06-02,-13.259765625,2.33,quiet
2014-06-03,-53.90234375,3.33,disturbance
2014-06-04,-17.770833333333332,2.0,quiet
2014-06-05,nan,2.67,missing
2014-06-06,nan,2.0,missing
2014-06-07,nan,4.0,missing
2014-06-08,-51.314453125,6.33,disturbance
2014-06-09,-25.290178571428573,2.33,quiet
2014-06-10,-32.92626953125,2.33,disturbance
2014-06-11,-47.444140625,2.33,disturbance
2014-06-12,-25.8515625,1.33,quiet
2014-06-13,-10.516276041666666,1.67,quiet
2014-06-14,-44.89306640625,2.67,disturbance
2014-06-15,-11.14765625,1.0,quiet
2014-06-16,-17.1318359375,2.0,quiet
2014-06-17,-28.37478298611111,3.33,quiet
2014-06-18,-30.00390625,4.67,disturbance
2014-06-19,-24.525390625,3.0,quiet
2014-06-20,-19.916666666666668,3.0,quiet
2014-06-21,nan,2.0,missing
2014-06-22,nan,1.33,missing
2014-06-23,-28.25,3.0,quiet
2014-06-24,-17.853515625,2.67,quiet
2014-06-25,nan,2.0,missing
2014-06-26,nan,2.33,missing
2014-06-27,nan,1.33,missing
2014-06-28,nan,2.67,missing
2014-06-29,nan,3.0,missing
2014-06-30,nan,3.0,missing
2014-07-01,nan,1.33,missing
2014-07-02,nan,1.67,missing
2014-07-03,nan,2.0,missing
2014-07-04,nan,1.67,missing
2014-07-05,nan,2.0,missing
2014-07-06,nan,1.33,missing
2014-07-07,nan,2.0,missing
2014-07-08,nan,2.33,missing
2014-07-09,nan,2.67,missing
2014-07-10,nan,3.0,missing
2014-07-11,-9.092447916666666,2.0,quiet
2014-07-12,nan,2.33,missing
2014-07-13,nan,2.0,missing
2014-07-14,nan,3.33,missing
2014-07-15,nan,2.33,missing
2014-07-16,nan,1.33,missing
2014-07-17,nan,1.67,missing
2014-07-18,nan,0.67,missing
2014-07-19,-8.314453125,1.0,quiet
2014-07-20,-17.705078125,1.33,quiet
2014-07-21,-42.654296875,1.67,disturbance
2014-07-22,-30.318359375,2.33,disturbance
2014-07-23,-9.522135416666666,2.67,quiet
2014-07-24,-15.76953125,2.0,quiet
2014-07-25,-14.224609375,2.67,quiet
2014-07-26,nan,2.0,missing
2014-07-27,-31.882533482142858,1.67,disturbance
