date,min_edst,max_kp,category
2000-01-01,nan,5.33,missing
2000-01-02,nan,3.33,missing
2000-01-03,nan,3.33,missing
2000-01-04,nan,3.67,missing
2000-01-05,nan,4.0,missing
2000-01-06,nan,4.33,missing
2000-01-07,nan,3.33,missing
2000-01-08,nan,2.33,missing
2000-01-09,nan,1.67,missing
2000-01-10,nan,3.0,missing
2000-01-11,nan,5.33,missing
2000-01-12,nan,3.67,missing
2000-01-13,nan,3.0,missing
2000-01-14,nan,3.0,missing
2000-01-15,nan,2.0,missing
2000-01-16,nan,2.0,missing
2000-01-17,nan,1.33,missing
2000-01-18,nan,1.33,missing
2000-01-19,nan,3.0,missing
2000-01-20,nan,3.67,missing
2000-01-21,nan,0.67,missing
2000-01-22,nan,5.33,missing
2000-01-23,nan,6.33,missing
2000-01-24,nan,4.0,missing
2000-01-25,nan,2.67,missing
2000-01-26,nan,3.0,missing
2000-01-27,nan,4.33,missing
2000-01-28,nan,5.0,missing
2000-01-29,nan,4.67,missing
2000-01-30,nan,3.67,missing
2000-01-31,nan,3.33,missing
2000-02-01,nan,3.0,missing
2000-02-02,nan,3.33,missing
2000-02-03,nan,3.67,missing
2000-02-04,nan,2.0,missing
2000-02-05,nan,4.33,missing
2000-02-06,nan,5.0,missing
2000-02-07,nan,5.33,missing
2000-02-08,nan,3.67,missing
2000-02-09,nan,3.67,missing
2000-02-10,nan,3.33,missing
2000-02-11,nan,4.33,missing
2000-02-12,nan,6.67,missing
2000-02-13,nan,3.67,missing
2000-02-14,nan,5.33,missing
2000-02-15,nan,4.33,missing
2000-02-16,nan,2.67,missing
2000-02-17,nan,2.67,missing
2000-02-18,nan,0.33,missing
2000-02-19,nan,2.0,missing
2000-02-20,nan,3.67,missing
2000-02-21,nan,4.67,missing
2000-02-22,nan,2.33,missing
2000-02-23,nan,4.0,missing
2000-02-24,nan,4.67,missing
2000-02-25,nan,4.33,missing
2000-02-26,nan,4.0,missing
2000-02-27,nan,3.67,missing
2000-02-28,nan,4.0,missing
2000-02-29,nan,3.0,missing
2000-03-01,nan,4.33,missing
2000-03-02,nan,4.67,missing
2000-03-03,nan,2.33,missing
2000-03-04,nan,2.0,missing
2000-03-05,nan,3.0,missing
2000-03-06,nan,3.0,missing
2000-03-07,nan,3.67,missing
2000-03-08,nan,4.0,missing
2000-03-09,nan,2.33,missing
2000-03-10,nan,4.0,missing
2000-03-11,nan,3.67,missing
2000-03-12,nan,4.33,missing
2000-03-13,nan,2.67,missing
2000-03-14,nan,2.0,missing
2000-03-15,nan,0.67,missing
2000-03-16,nan,1.0,missing
2000-03-17,nan,2.0,missing
2000-03-18,nan,3.0,missing
2000-03-19,nan,3.0,missing
2000-03-20,nan,3.0,missing
2000-03-21,nan,1.67,missing
2000-03-22,nan,3.33,missing
2000-03-23,nan,3.67,missing
2000-03-24,nan,3.67,missing
2000-03-25,nan,3.0,missing
2000-03-26,nan,1.67,missing
2000-03-27,nan,1.33,missing
2000-03-28,nan,1.67,missing
2000-03-29,nan,4.33,missing
2000-03-30,nan,4.33,missing
2000-03-31,nan,4.67,missing
2000-04-01,nan,4.0,missing
2000-04-02,nan,4.0,missing
2000-04-03,nan,3.0,missing
2000-04-04,nan,5.0,missing
2000-04-05,nan,4.33,missing
2000-04-06,nan,8.33,missing
2000-04-07,nan,8.67,missing
2000-04-08,nan,3.0,missing
2000-04-09,nan,3.67,missing
2000-04-10,nan,4.0,missing
2000-04-11,nan,3.33,missing
2000-04-12,nan,2.67,missing
2000-04-13,nan,3.67,missing
2000-04-14,nan,1.33,missing
2000-04-15,nan,2.67,missing
2000-04-16,nan,4.33,missing
2000-04-17,nan,4.0,missing
2000-04-18,nan,2.67,missing
2000-04-19,nan,4.0,missing
2000-04-20,nan,3.33,missing
2000-04-21,nan,3.67,missing
2000-04-22,nan,2.0,missing
2000-04-23,nan,2.33,missing
2000-04-24,nan,5.33,missing
2000-04-25,nan,2.33,missing
2000-04-26,nan,1.0,missing
2000-04-27,nan,4.0,missing
2000-04-28,nan,4.67,missing
2000-04-29,nan,3.67,missing
2000-04-30,nan,4.33,missing
2000-05-01,nan,3.67,missing
2000-05-02,nan,4.67,missing
2000-05-03,nan,5.0,missing
2000-05-04,nan,2.33,missing
2000-05-05,nan,3.33,missing
2000-05-06,nan,3.33,missing
2000-05-07,nan,2.0,missing
2000-05-08,nan,2.0,missing
2000-05-09,nan,2.67,missing
2000-05-10,nan,2.67,missing
2000-05-11,nan,2.0,missing
2000-05-12,nan,4.0,missing
2000-05-13,nan,4.0,missing
2000-05-14,nan,3.67,missing
2000-05-15,nan,4.33,missing
2000-05-16,nan,4.33,missing
2000-05-17,nan,6.0,missing
2000-05-18,nan,3.33,missing
2000-05-19,nan,2.33,missing
2000-05-20,nan,2.33,missing
2000-05-21,nan,2.0,missing
2000-05-22,nan,2.67,missing
2000-05-23,nan,6.67,missing
2000-05-24,nan,8.0,missing
2000-05-25,nan,4.67,missing
2000-05-26,nan,3.67,missing
2000-05-27,nan,2.67,missing
2000-05-28,nan,2.67,missing
2000-05-29,nan,5.0,missing
2000-05-30,nan,4.33,missing
2000-05-31,nan,4.0,missing
2000-06-01,nan,3.0,missing
2000-06-02,nan,2.33,missing
2000-06-03,nan,3.33,missing
2000-06-04,nan,4.33,missing
2000-06-05,nan,4.67,missing
2000-06-06,nan,5.0,missing
2000-06-07,nan,3.67,missing
2000-06-08,nan,7.0,missing
2000-06-09,nan,2.33,missing
2000-06-10,nan,4.33,missing
2000-06-11,nan,5.0,missing
2000-06-12,nan,3.67,missing
2000-06-13,nan,3.33,missing
2000-06-14,nan,5.33,missing
2000-06-15,nan,5.67,missing
2000-06-16,nan,2.33,missing
2000-06-17,nan,2.33,missing
2000-06-18,nan,4.0,missing
2000-06-19,nan,3.0,missing
2000-06-20,nan,2.33,missing
2000-06-21,nan,3.33,missing
2000-06-22,nan,3.67,missing
2000-06-23,nan,5.33,missing
2000-06-24,nan,4.67,missing
2000-06-25,nan,3.33,missing
2000-06-26,nan,6.0,missing
2000-06-27,nan,4.33,missing
2000-06-28,nan,3.0,missing
2000-06-29,nan,3.33,missing
2000-06-30,nan,2.33,missing
2000-07-01,nan,2.67,missing
2000-07-02,nan,1.67,missing
2000-07-03,nan,2.67,missing
2000-07-04,nan,3.33,missing
2000-07-05,nan,3.33,missing
2000-07-06,nan,2.0,missing
2000-07-07,nan,2.0,missing
2000-07-08,nan,2.33,missing
2000-07-09,nan,2.33,missing
2000-07-10,nan,4.67,missing
2000-07-11,nan,5.33,missing
2000-07-12,nan,3.67,missing
2000-07-13,nan,7.0,missing
2000-07-14,nan,7.33,missing
2000-07-15,nan,9.0,missing
2000-07-16,nan,7.67,missing
2000-07-17,nan,3.0,missing
2000-07-18,nan,3.33,missing
2000-07-19,nan,4.33,missing
2000-07-20,nan,6.0,missing
2000-07-21,nan,2.67,missing
2000-07-22,nan,3.67,missing
2000-07-23,nan,6.0,missing
2000-07-24,nan,2.33,missing
2000-07-25,nan,2.0,missing
2000-07-26,nan,4.67,missing
2000-07-27,nan,3.67,missing
2000-07-28,nan,5.67,missing
2000-07-29,nan,5.67,missing
2000-07-30,nan,3.0,missing
2000-07-31,nan,5.33,missing
2000-08-01,nan,3.67,missing
2000-08-02,nan,3.33,missing
2000-08-03,nan,2.67,missing
2000-08-04,nan,3.67,missing
2000-08-05,nan,5.0,missing
2000-08-06,nan,4.33,missing
2000-08-07,nan,2.67,missing
2000-08-08,nan,2.33,missing
2000-08-09,nan,2.33,missing
2000-08-10,nan,5.33,missing
2000-08-11,nan,5.67,missing
2000-08-12,nan,7.67,missing
2000-08-13,nan,5.67,missing
2000-08-14,nan,4.33,missing
2000-08-15,nan,3.67,missing
2000-08-16,nan,2.33,missing
2000-08-17,nan,2.67,missing
2000-08-18,nan,1.67,missing
2000-08-19,nan,2.33,missing
2000-08-20,nan,2.33,missing
2000-08-21,nan,3.67,missing
2000-08-22,nan,1.33,missing
2000-08-23,nan,3.33,missing
2000-08-24,nan,3.0,missing
2000-08-25,nan,1.67,missing
2000-08-26,nan,1.67,missing
2000-08-27,nan,2.67,missing
2000-08-28,nan,5.33,missing
2000-08-29,nan,5.67,missing
2000-08-30,nan,3.67,missing
2000-08-31,nan,3.33,missing
2000-09-01,nan,3.67,missing
2000-09-02,nan,4.33,missing
2000-09-03,nan,3.0,missing
2000-09-04,nan,5.67,missing
2000-09-05,nan,3.0,missing
2000-09-06,nan,4.0,missing
2000-09-07,nan,3.33,missing
2000-09-08,nan,3.67,missing
2000-09-09,nan,2.33,missing
2000-09-10,nan,1.67,missing
2000-09-11,nan,2.33,missing
2000-09-12,nan,4.33,missing
2000-09-13,nan,4.0,missing
2000-09-14,nan,2.0,missing
2000-09-15,nan,5.0,missing
2000-09-16,nan,6.33,missing
2000-09-17,nan,8.33,missing
2000-09-18,nan,7.67,missing
2000-09-19,nan,6.0,missing
2000-09-20,nan,3.67,missing
2000-09-21,nan,3.0,missing
2000-09-22,nan,2.67,missing
2000-09-23,nan,3.0,missing
2000-09-24,nan,5.0,missing
