Date,Region,Type
2009-01-20,south_america,未発達型
2009-11-08,south_america,突発型
2010-04-10,south_america,突発型
2010-04-22,south_america,突発型
2011-05-24,south_america,未発達型
2013-06-17,south_america,未発達型
2013-11-13,south_america,未発達型
2014-06-19,south_america,未発達型
2015-07-09,south_america,未発達型
2015-07-27,south_america,未発達型
2015-08-04,south_america,突発型
2016-04-05,south_america,未発達型
2016-05-10,south_america,突発型
2016-11-08,south_america,突発型
2017-02-07,south_america,突発型
2017-06-05,south_america,未発達型
2017-06-27,south_america,未発達型
2017-07-03,south_america,未発達型
2017-07-19,south_america,未発達型
2017-07-30,south_america,未発達型
2017-08-01,south_america,突発型
2017-08-02,south_america,突発型
2017-08-30,south_america,未発達型
2017-11-25,south_america,突発型
2017-11-29,south_america,突発型
2017-12-10,south_america,突発型
2018-01-26,south_america,未発達型
2018-01-27,south_america,未発達型
2018-01-29,south_america,突発型
2018-01-30,south_america,突発型
2018-02-05,south_america,未発達型
2018-02-06,south_america,未発達型
2018-02-07,south_america,未発達型
2018-02-11,south_america,突発型
2018-05-11,south_america,未発達型
2018-05-23,south_america,未発達型
2018-06-27,south_america,突発型
2018-07-06,south_america,未発達型
2018-08-11,south_america,突発型
2018-09-06,south_america,突発型
2018-11-17,south_america,突発型
2018-11-18,south_america,突発型
2018-12-13,south_america,未発達型
2018-12-20,south_america,突発型
2019-02-16,south_america,突発型
2019-04-24,south_america,突発型
2019-05-24,south_america,未発達型
2019-06-14,south_america,未発達型
2019-07-01,south_america,突発型
2019-07-18,south_america,突発型
2019-08-08,south_america,突発型
2019-08-14,south_america,未発達型
2019-11-05,south_america,突発型
2019-11-06,south_america,突発型
2019-11-11,south_america,突発型
2019-11-24,south_america,突発型
2019-12-08,south_america,突発型
2020-02-15,south_america,未発達型
2020-02-22,south_america,突発型
2020-02-25,south_america,突発型
2020-03-04,south_america,突発型
2020-03-05,south_america,突発型
2020-03-06,south_america,突発型
2020-03-08,south_america,突発型
2020-03-09,south_america,未発達型
2020-04-02,south_america,突発型
2020-04-13,south_america,突発型
2020-05-04,south_america,突発型
2020-05-06,south_america,突発型
2020-05-07,south_america,未発達型
2020-05-24,south_america,未発達型
2020-05-28,south_america,突発型
2020-06-11,south_america,未発達型
2020-06-12,south_america,突発型
2020-06-14,south_america,突発型
2020-06-17,south_america,未発達型
2020-06-18,south_america,未発達型
2020-06-19,south_america,未発達型
2020-06-27,south_america,未発達型
2020-07-03,south_america,突発型
2020-07-04,south_america,未発達型
2020-07-08,south_america,突発型
2020-07-11,south_america,突発型
2020-07-15,south_america,未発達型
2020-07-21,south_america,未発達型
2020-07-29,south_america,未発達型
2020-08-15,south_america,未発達型
2020-08-25,south_america,突発型
