Date,Tmin_50-90N_K,T_90N_K,T_50N_K,T_60-90N_K,U_60N_m/s
2000-01-01,190.9,194.53,215.78,201.68,52.34
2000-01-02,191.06,192.31,216.65,201.32,53.27
2000-01-03,192.14,193.78,216.37,202.58,54.65
2000-01-04,192.55,194.99,216.06,204.35,48.96
2000-01-05,193.49,196.22,216.67,205.08,48.94
2000-01-06,193.47,198.04,218.0,205.49,51.65
2000-01-07,192.41,195.39,218.07,205.38,55.85
2000-01-08,191.03,194.47,219.39,205.5,58.19
2000-01-09,193.51,195.7,218.83,206.63,58.13
2000-01-10,192.83,196.8,218.75,206.93,61.91
2000-01-11,192.61,195.92,218.54,206.06,62.66
2000-01-12,192.44,194.98,218.61,204.21,62.8
2000-01-13,192.89,194.39,219.51,203.05,60.67
2000-01-14,193.67,196.59,219.46,204.29,58.36
2000-01-15,189.24,198.73,220.27,205.5,59.48
2000-01-16,192.36,200.4,221.03,208.48,53.83
2000-01-17,195.09,202.0,222.96,210.57,56.43
2000-01-18,195.55,206.41,222.66,212.71,57.14
2000-01-19,199.03,209.84,223.1,213.53,54.75
2000-01-20,197.04,209.95,222.49,216.44,51.53
2000-01-21,197.34,211.1,222.62,216.31,47.32
2000-01-22,198.37,212.03,222.75,216.08,47.23
2000-01-23,196.92,213.19,223.72,216.22,43.46
2000-01-24,196.25,211.98,225.19,216.12,45.51
2000-01-25,195.23,213.22,223.38,218.22,45.29
2000-01-26,197.7,223.07,221.27,221.07,44.7
2000-01-27,199.24,219.55,220.29,222.24,36.44
2000-01-28,197.97,214.17,221.37,220.06,34.82
2000-01-29,196.55,215.62,224.28,219.22,42.91
2000-01-30,201.07,216.62,225.16,219.13,48.44
2000-01-31,199.58,214.23,225.54,219.99,53.25
2000-02-01,193.99,219.85,224.01,222.7,44.79
2000-02-02,197.34,217.69,222.1,227.87,32.86
2000-02-03,197.59,230.21,222.01,231.77,31.36
2000-02-04,196.82,236.65,224.02,230.51,31.8
2000-02-05,193.23,224.35,225.19,229.02,30.93
2000-02-06,204.83,222.06,225.56,228.57,32.1
2000-02-07,197.21,227.26,225.44,229.53,38.49
2000-02-08,200.29,237.27,224.05,231.22,39.86
2000-02-09,201.59,234.03,224.18,229.56,28.57
2000-02-10,208.21,224.42,225.37,227.33,30.75
2000-02-11,213.89,221.33,225.41,225.56,35.74
2000-02-12,214.3,215.7,224.5,225.74,35.53
2000-02-13,211.77,222.5,223.35,225.57,34.32
2000-02-14,208.58,225.69,221.34,226.06,32.67
2000-02-15,210.02,224.94,220.43,224.99,32.04
2000-02-16,207.69,219.75,221.1,221.81,32.19
2000-02-17,207.42,216.6,220.31,220.52,35.25
2000-02-18,208.04,215.09,219.68,220.47,37.6
2000-02-19,208.56,219.89,219.33,220.17,36.53
2000-02-20,207.4,217.9,219.16,219.52,35.8
2000-02-21,206.85,213.27,219.44,218.09,35.81
2000-02-22,210.89,214.06,219.02,217.96,34.36
2000-02-23,210.59,213.65,218.38,217.33,35.26
2000-02-24,209.67,213.39,218.54,216.77,36.08
2000-02-25,209.53,215.31,218.55,217.19,37.34
2000-02-26,209.13,217.71,218.65,217.59,36.62
2000-02-27,208.49,213.18,218.32,217.33,36.83
2000-02-28,208.13,215.07,218.2,217.02,36.09
2000-02-29,207.82,220.59,218.04,218.14,32.66
2000-03-01,210.26,225.21,219.01,217.86,28.98
2000-03-02,209.51,219.05,219.43,217.09,25.93
2000-03-03,206.43,220.61,219.98,217.99,23.13
2000-03-04,206.17,224.63,221.96,219.08,22.7
2000-03-05,207.09,222.89,223.38,219.9,23.49
2000-03-06,208.89,219.51,224.14,219.26,27.34
2000-03-07,207.02,215.23,225.49,219.81,27.42
2000-03-08,205.16,217.27,225.32,221.75,30.12
2000-03-09,203.48,213.65,225.08,224.0,24.0
2000-03-10,204.19,221.22,226.56,226.83,18.3
2000-03-11,204.28,228.33,227.4,230.65,19.33
2000-03-12,208.04,232.84,228.11,233.24,12.3
2000-03-13,204.74,234.25,228.49,234.8,8.41
2000-03-14,204.93,240.27,228.27,235.41,8.76
2000-03-15,207.55,243.87,227.93,235.53,9.62
2000-03-16,208.64,246.85,226.9,235.88,6.68
2000-03-17,207.59,241.86,226.03,235.58,4.06
2000-03-18,206.64,234.07,225.12,234.74,2.31
2000-03-19,209.61,234.99,225.12,233.52,0.28
2000-03-20,208.0,237.45,224.81,232.57,-2.98
2000-03-21,207.62,234.98,224.76,231.39,-3.4
2000-03-22,206.08,239.03,224.77,230.51,-0.24
2000-03-23,206.25,236.84,224.73,229.99,3.28
2000-03-24,207.41,237.17,224.81,229.03,4.7
2000-03-25,209.31,234.26,225.19,228.14,6.47
2000-03-26,212.12,232.38,225.04,227.33,7.75
2000-03-27,212.67,230.32,224.47,226.79,10.94
2000-03-28,213.44,231.31,224.42,226.62,13.89
2000-03-29,213.86,231.53,224.07,225.95,14.54
2000-03-30,212.6,228.96,223.55,225.57,15.03
2000-03-31,212.73,230.7,223.5,226.01,15.51
2000-04-01,212.84,231.06,223.33,227.15,14.64
2000-04-02,212.21,234.73,223.02,228.11,10.38
2000-04-03,213.38,236.98,222.88,228.69,7.17
2000-04-04,214.68,237.67,222.68,229.02,5.63
2000-04-05,214.98,236.6,222.89,229.26,4.49
2000-04-06,216.2,237.38,222.93,229.25,3.42
2000-04-07,216.4,235.89,223.23,229.45,2.18
2000-04-08,218.16,234.62,223.49,229.73,2.1
2000-04-09,218.36,234.12,223.32,229.72,-0.41
2000-04-10,218.65,233.59,223.53,229.95,-4.8
2000-04-11,218.48,231.85,223.88,229.88,-8.65
2000-04-12,219.9,230.14,224.52,229.48,-7.58
2000-04-13,220.63,229.9,224.82,229.58,-8.15
2000-04-14,220.74,230.01,225.1,229.63,-7.92
2000-04-15,220.19,230.12,224.86,229.84,-7.73
2000-04-16,220.32,231.72,225.37,229.87,-8.33
2000-04-17,220.96,233.32,225.33,230.04,-8.33
2000-04-18,221.59,233.12,225.81,230.07,-8.13
2000-04-19,220.43,232.69,225.76,230.02,-9.3
2000-04-20,222.09,231.85,226.3,229.99,-10.93
2000-04-21,222.14,231.82,226.95,229.83,-11.1
2000-04-22,223.2,232.08,227.48,229.89,-12.21
2000-04-23,224.51,231.23,227.98,229.63,-12.04
2000-04-24,224.91,230.77,228.56,229.63,-11.24
2000-04-25,224.88,230.75,228.62,229.8,-10.56
2000-04-26,225.88,230.15,228.98,230.2,-9.77
2000-04-27,225.45,230.19,229.23,230.35,-9.14
2000-04-28,226.1,229.99,229.52,230.75,-7.06
2000-04-29,226.25,230.12,230.0,231.01,-6.64
2000-04-30,226.01,228.9,230.13,231.17,-6.49
2000-05-01,225.97,229.31,230.63,231.43,-5.95
2000-05-02,225.25,229.71,231.04,231.68,-6.02
2000-05-03,225.87,230.78,231.07,231.96,-6.7
2000-05-04,227.29,231.52,231.45,232.23,-6.96
2000-05-05,227.41,231.81,231.55,232.48,-6.45
2000-05-06,227.2,231.94,231.72,232.78,-7.13
2000-05-07,228.25,231.9,231.88,232.93,-8.13
2000-05-08,229.65,231.84,232.24,233.23,-8.43
2000-05-09,229.75,232.04,232.53,233.24,-7.93
2000-05-10,229.62,232.79,232.06,233.41,-8.29
2000-05-11,228.53,233.58,232.54,233.8,-8.35
2000-05-12,228.75,234.12,232.67,234.02,-7.66
2000-05-13,229.11,234.41,233.04,234.3,-7.94
2000-05-14,229.55,235.27,233.08,234.59,-8.23
2000-05-15,231.31,235.51,233.49,234.73,-8.26
2000-05-16,230.35,235.42,233.43,235.1,-8.55
2000-05-17,231.37,235.39,233.58,235.14,-8.65
2000-05-18,231.68,235.71,233.81,235.36,-8.61
2000-05-19,231.36,236.05,233.79,235.57,-8.48
2000-05-20,232.2,235.91,234.12,235.82,-8.16
2000-05-21,232.16,235.77,234.22,236.15,-7.46
2000-05-22,231.77,236.46,234.59,236.39,-7.57
2000-05-23,232.38,236.6,234.67,236.42,-7.95
2000-05-24,231.94,236.46,235.01,236.62,-8.28
2000-05-25,232.33,236.85,235.29,236.91,-8.51
2000-05-26,232.6,237.0,235.1,237.15,-8.58
2000-05-27,231.98,237.19,234.97,237.2,-8.93
2000-05-28,232.41,237.76,235.11,237.56,-9.48
2000-05-29,233.08,238.43,235.48,237.79,-9.48
2000-05-30,232.92,238.3,235.47,238.07,-9.18
2000-05-31,233.88,238.7,235.65,238.33,-9.63
2000-06-01,232.85,238.74,235.58,238.51,-9.38
2000-06-02,233.74,239.36,235.7,238.88,-9.54
2000-06-03,232.95,239.29,235.67,238.73,-9.9
2000-06-04,233.5,239.23,236.12,239.04,-10.2
2000-06-05,233.66,239.97,235.8,239.24,-10.83
2000-06-06,233.8,240.31,236.13,239.54,-10.19
2000-06-07,234.18,240.74,236.27,239.92,-10.1
2000-06-08,234.67,240.98,236.78,240.13,-10.44
2000-06-09,234.7,241.48,236.73,240.2,-10.64
2000-06-10,234.76,241.66,236.69,240.28,-11.07
2000-06-11,235.23,241.77,236.68,240.2,-10.91
2000-06-12,235.01,242.11,236.98,240.73,-10.41
2000-06-13,234.62,242.62,237.01,241.01,-10.82
2000-06-14,234.77,242.81,237.14,241.09,-10.67
2000-06-15,234.84,242.84,237.26,240.99,-11.0
2000-06-16,234.76,243.43,237.32,241.17,-11.56
2000-06-17,235.95,243.41,237.27,241.34,-11.11
2000-06-18,235.44,244.09,237.31,241.61,-11.21
2000-06-19,235.46,243.94,237.33,241.57,-11.08
2000-06-20,235.24,244.28,237.28,241.59,-11.22
2000-06-21,235.09,243.89,237.48,241.68,-11.25
2000-06-22,236.01,244.25,237.42,241.83,-11.36
2000-06-23,236.12,243.86,237.5,241.91,-11.34
2000-06-24,235.49,243.88,237.51,241.97,-11.83
2000-06-25,235.62,243.5,237.83,241.87,-11.56
2000-06-26,234.54,243.32,237.7,241.7,-11.65
2000-06-27,234.49,243.62,237.88,241.99,-11.98
2000-06-28,235.88,243.62,237.7,242.05,-11.55
2000-06-29,236.21,243.24,237.85,241.88,-12.44
2000-06-30,235.59,243.64,237.73,241.91,-12.26
2000-07-01,235.53,244.07,237.93,242.22,-12.69
2000-07-02,236.59,244.12,237.81,242.28,-12.0
2000-07-03,236.0,244.2,237.74,242.26,-11.77
2000-07-04,236.69,244.79,237.78,242.25,-11.37
2000-07-05,236.42,244.19,237.63,242.05,-11.32
2000-07-06,234.96,244.07,237.4,242.06,-10.77
2000-07-07,235.81,244.2,237.47,242.19,-11.21
2000-07-08,235.51,244.61,237.53,242.24,-11.5
2000-07-09,236.14,243.95,237.56,242.1,-11.6
2000-07-10,235.99,243.75,237.44,241.95,-11.78
2000-07-11,235.92,244.16,237.6,242.01,-11.5
2000-07-12,235.78,243.45,237.44,241.67,-11.38
2000-07-13,235.41,243.02,237.18,241.57,-11.11
2000-07-14,235.09,243.17,237.39,241.6,-10.98
2000-07-15,235.39,242.86,237.24,241.38,-11.06
2000-07-16,235.67,243.36,237.28,241.52,-10.73
2000-07-17,235.5,243.42,237.16,241.33,-10.44
2000-07-18,235.92,244.08,236.96,241.4,-10.84
2000-07-19,235.53,243.59,237.0,241.32,-10.6
2000-07-20,234.74,242.94,237.05,241.12,-10.59
2000-07-21,234.94,242.08,236.65,240.84,-10.61
2000-07-22,234.43,242.25,236.83,240.84,-10.68
2000-07-23,234.64,241.84,236.44,240.59,-10.85
2000-07-24,234.14,241.18,236.46,240.44,-10.97
2000-07-25,233.9,241.52,236.49,240.46,-10.58
2000-07-26,233.77,241.09,236.58,240.56,-10.35
2000-07-27,233.93,240.82,236.48,240.33,-9.89
2000-07-28,234.0,240.56,236.34,239.95,-9.67
2000-07-29,233.81,240.3,236.01,239.58,-9.88
2000-07-30,234.92,240.24,235.87,239.37,-9.69
2000-07-31,233.94,240.31,235.87,239.4,-8.97
2000-08-01,233.33,240.27,235.59,239.29,-9.02
2000-08-02,232.98,240.18,235.41,239.11,-8.69
2000-08-03,233.23,240.02,235.27,238.94,-7.89
2000-08-04,233.12,239.78,235.28,238.96,-7.57
2000-08-05,233.48,239.83,235.27,238.94,-6.96
2000-08-06,233.87,239.41,235.3,238.82,-6.67
2000-08-07,233.0,239.52,234.83,238.73,-6.63
2000-08-08,232.33,239.29,234.7,238.45,-5.98
2000-08-09,232.75,239.02,234.96,238.18,-5.49
2000-08-10,232.69,238.54,234.74,237.98,-5.36
2000-08-11,232.85,238.27,234.68,237.64,-5.2
2000-08-12,233.13,237.38,234.51,237.44,-4.83
2000-08-13,233.37,236.76,234.55,237.01,-4.65
2000-08-14,232.15,235.58,234.1,236.61,-5.29
2000-08-15,232.64,235.82,234.46,236.57,-4.26
2000-08-16,231.87,235.24,234.34,236.27,-3.55
2000-08-17,231.32,235.26,234.07,236.05,-3.74
2000-08-18,232.34,235.31,234.14,235.85,-2.88
2000-08-19,232.46,235.25,233.87,235.67,-2.74
2000-08-20,231.89,234.71,233.65,235.32,-2.05
2000-08-21,230.56,234.42,233.36,235.09,-1.35
2000-08-22,230.74,234.68,233.23,234.98,-0.92
2000-08-23,231.14,234.09,233.22,234.66,-0.52
2000-08-24,231.24,233.09,232.92,234.28,-0.39
2000-08-25,230.91,233.11,232.62,233.82,-0.06
2000-08-26,230.53,232.64,232.69,233.63,0.76
2000-08-27,230.23,232.48,232.46,233.48,1.3
2000-08-28,230.13,232.23,232.43,233.21,1.62
2000-08-29,229.71,231.61,232.38,232.76,1.44
2000-08-30,229.71,230.81,232.58,232.46,1.81
2000-08-31,229.3,230.79,232.43,232.08,2.41
2000-09-01,228.94,230.55,232.14,231.67,2.89
2000-09-02,228.27,230.38,232.21,231.55,3.75
2000-09-03,227.92,230.12,232.11,231.11,4.54
2000-09-04,227.62,229.43,231.89,230.79,5.49
2000-09-05,227.46,228.81,231.5,230.45,5.94
2000-09-06,227.37,228.65,231.31,230.21,6.8
2000-09-07,226.69,227.54,231.28,229.55,7.58
2000-09-08,226.85,227.19,231.05,229.37,7.61
2000-09-09,226.01,226.72,231.09,228.92,8.88
2000-09-10,225.03,226.75,230.81,228.59,8.88
2000-09-11,223.65,225.63,230.73,227.99,9.98
2000-09-12,223.32,225.53,230.37,227.8,10.29
2000-09-13,224.36,224.97,229.99,227.56,10.66
2000-09-14,223.58,224.34,229.73,226.96,11.45
2000-09-15,222.93,223.78,229.7,226.36,11.24
2000-09-16,221.89,223.3,229.38,225.75,10.85
2000-09-17,221.97,223.21,229.03,225.51,11.54
2000-09-18,220.68,222.12,228.8,224.97,11.63
2000-09-19,219.85,221.74,228.64,224.48,12.47
2000-09-20,219.62,220.93,228.5,224.2,13.53
2000-09-21,218.48,219.9,228.36,223.7,13.46
2000-09-22,217.94,219.74,228.18,223.11,13.3
2000-09-23,217.83,219.51,228.01,222.89,12.23
2000-09-24,217.43,219.4,227.56,222.36,11.64
2000-09-25,216.83,217.99,227.52,221.84,10.7
2000-09-26,215.74,216.66,227.12,221.41,10.16
2000-09-27,215.64,215.84,227.33,221.23,12.03
2000-09-28,216.08,216.22,227.43,220.85,14.63
2000-09-29,215.14,216.28,227.35,220.66,17.16
2000-09-30,214.91,216.5,227.33,220.27,17.59
2000-10-01,213.76,215.92,226.7,219.9,17.29
2000-10-02,213.97,216.19,226.46,219.68,17.64
2000-10-03,213.25,215.63,226.59,219.08,17.41
2000-10-04,213.01,214.83,226.16,218.6,17.6
2000-10-05,212.8,213.2,226.42,218.1,17.85
2000-10-06,212.18,212.97,226.84,217.61,18.31
2000-10-07,210.86,211.96,226.33,216.83,20.27
2000-10-08,209.34,211.2,226.11,216.35,21.25
2000-10-09,209.51,210.55,225.75,215.84,19.95
2000-10-10,208.11,209.81,225.49,215.24,19.22
2000-10-11,208.91,209.86,225.2,214.82,17.17
2000-10-12,208.57,209.34,225.02,214.5,17.15
2000-10-13,208.84,209.51,224.69,214.69,19.54
2000-10-14,208.19,209.33,224.56,214.6,20.38
2000-10-15,206.68,209.22,224.25,214.5,20.35
2000-10-16,205.39,207.9,224.48,214.23,20.35
2000-10-17,204.75,207.19,224.93,213.83,20.98
2000-10-18,204.19,207.04,224.38,213.67,21.61
2000-10-19,204.25,206.56,223.56,213.75,20.4
2000-10-20,204.22,206.08,222.84,213.9,20.44
2000-10-21,203.56,206.34,222.09,214.37,19.49
2000-10-22,202.36,207.22,221.4,214.72,19.88
2000-10-23,201.16,207.81,221.42,214.77,20.61
2000-10-24,201.0,208.94,221.4,214.41,20.67
2000-10-25,200.2,207.89,221.58,213.75,21.8
2000-10-26,201.2,206.49,221.01,213.23,24.03
2000-10-27,201.89,204.35,221.19,212.22,24.68
2000-10-28,200.69,204.44,220.93,211.49,24.61
2000-10-29,199.52,204.86,220.46,210.88,23.66
2000-10-30,199.95,205.79,220.3,210.9,21.85
2000-10-31,199.55,206.08,220.51,210.56,20.69
2000-11-01,198.25,206.47,220.52,210.31,22.42
2000-11-02,197.73,205.8,220.51,210.23,23.52
2000-11-03,197.82,205.12,221.24,210.17,24.66
2000-11-04,198.35,203.87,222.05,209.51,25.84
2000-11-05,198.66,202.61,221.76,209.02,27.02
2000-11-06,196.37,202.55,221.33,208.77,26.37
2000-11-07,195.09,202.58,220.6,208.73,27.3
2000-11-08,194.87,201.41,221.06,208.13,29.89
2000-11-09,195.79,199.58,221.51,207.15,29.0
2000-11-10,194.6,200.16,221.76,206.73,25.68
2000-11-11,194.46,200.91,220.96,207.65,22.74
2000-11-12,193.14,204.14,218.88,209.61,17.45
2000-11-13,193.26,209.01,217.72,211.95,13.0
2000-11-14,192.94,212.51,217.91,213.18,14.48
2000-11-15,193.88,210.97,218.57,212.62,15.84
2000-11-16,193.21,209.47,218.15,211.81,14.83
2000-11-17,192.46,208.29,217.82,211.2,13.6
2000-11-18,191.62,205.5,217.54,211.08,11.65
2000-11-19,191.68,207.44,217.95,211.7,9.97
2000-11-20,191.36,214.21,217.9,212.13,8.99
2000-11-21,193.34,213.86,218.13,212.44,9.11
2000-11-22,194.49,209.65,218.02,212.55,9.85
2000-11-23,192.54,216.73,216.77,212.56,8.44
2000-11-24,192.84,212.72,215.92,212.23,8.78
