date,peak_diff,eej_category
2016-01-01,,disturbance
2016-01-02,,disturbance
2016-01-03,,missing
2016-01-04,,missing
2016-01-05,,missing
2016-01-06,,disturbance
2016-01-07,,disturbance
2016-01-08,,missing
2016-01-09,,missing
2016-01-10,,missing
2016-01-11,,disturbance
2016-01-12,,disturbance
2016-01-13,,disturbance
2016-01-14,,missing
2016-01-15,,missing
2016-01-16,,missing
2016-01-17,,missing
2016-01-18,,missing
2016-01-19,,disturbance
2016-01-20,43.27210001966285,disturbance
2016-01-21,,disturbance
2016-01-22,70.32987148573616,disturbance
2016-01-23,38.83635008611529,normal
2016-01-24,,disturbance
2016-01-25,,missing
2016-01-26,,missing
2016-01-27,,missing
2016-01-28,,missing
2016-01-29,,missing
2016-01-30,,missing
2016-01-31,,disturbance
2016-02-01,13.11550657131474,disturbance
2016-02-02,,disturbance
2016-02-03,52.74546958992892,disturbance
2016-02-04,,missing
2016-02-05,,missing
2016-02-06,,missing
2016-02-07,,disturbance
2016-02-08,,disturbance
2016-02-09,,disturbance
2016-02-10,91.89217772663373,normal
2016-02-11,,disturbance
2016-02-12,,disturbance
2016-02-13,51.35255650359608,disturbance
2016-02-14,,missing
2016-02-15,,disturbance
2016-02-16,,disturbance
2016-02-17,,disturbance
2016-02-18,,disturbance
2016-02-19,,missing
2016-02-20,,missing
2016-02-21,,missing
2016-02-22,,missing
2016-02-23,,missing
2016-02-24,46.590580973977815,normal
2016-02-25,30.167699412456443,normal
2016-02-26,,missing
2016-02-27,53.23817746514551,normal
2016-02-28,,missing
2016-02-29,,missing
2016-03-01,,disturbance
2016-03-02,,missing
2016-03-03,,missing
2016-03-04,,missing
2016-03-05,42.54671647306485,normal
2016-03-06,,disturbance
2016-03-07,82.20801947045618,disturbance
2016-03-08,,disturbance
2016-03-09,,missing
2016-03-10,,missing
2016-03-11,,disturbance
2016-03-12,,missing
2016-03-13,,missing
2016-03-14,,disturbance
2016-03-15,,disturbance
2016-03-16,,disturbance
2016-03-17,,disturbance
2016-03-18,,disturbance
2016-03-19,,disturbance
2016-03-20,,disturbance
2016-03-21,,disturbance
2016-03-22,,missing
2016-03-23,,missing
2016-03-24,,missing
2016-03-25,,missing
2016-03-26,,missing
2016-03-27,,missing
2016-03-28,,missing
2016-03-29,,missing
2016-03-30,,disturbance
2016-03-31,,missing
2016-04-01,,missing
2016-04-02,,disturbance
2016-04-03,,disturbance
2016-04-04,,missing
2016-04-05,,missing
2016-04-06,,disturbance
2016-04-07,,disturbance
2016-04-08,,disturbance
2016-04-09,,missing
2016-04-10,,missing
2016-04-11,,missing
2016-04-12,,disturbance
2016-04-13,,disturbance
2016-04-14,,disturbance
2016-04-15,,disturbance
2016-04-16,,disturbance
2016-04-17,,disturbance
2016-04-18,,missing
2016-04-19,,missing
2016-04-20,,missing
2016-04-21,,missing
2016-04-22,,disturbance
2016-04-23,,disturbance
2016-04-24,,disturbance
2016-04-25,,missing
2016-04-26,,missing
2016-04-27,,missing
2016-04-28,,missing
2016-04-29,,missing
2016-04-30,,missing
2016-05-01,,disturbance
2016-05-02,,disturbance
2016-05-03,,disturbance
2016-05-04,,missing
2016-05-05,,disturbance
2016-05-06,,disturbance
2016-05-07,,disturbance
2016-05-08,,disturbance
2016-05-09,,disturbance
2016-05-10,,missing
2016-05-11,64.65977054071294,normal
2016-05-12,60.573970893936036,normal
2016-05-13,,missing
2016-05-14,,disturbance
2016-05-15,43.677531398632574,disturbance
2016-05-16,43.167709475172174,disturbance
2016-05-17,32.8310425356567,normal
2016-05-18,55.33207181430837,normal
2016-05-19,27.3204615898699,disturbance
2016-05-20,85.77358901148685,normal
2016-05-21,30.547376765077786,disturbance
2016-05-22,38.83346410290947,normal
2016-05-23,38.12546710192564,normal
2016-05-24,29.97208677820303,normal
2016-05-25,62.10872287206049,normal
2016-05-26,63.66004782784101,normal
2016-05-27,74.31274721778391,normal
2016-05-28,40.02447024833401,disturbance
2016-05-29,29.547577656652543,normal
2016-05-30,3.545718452734839,disturbance
2016-05-31,34.524392750412176,normal
2016-06-01,51.004113661015104,normal
2016-06-02,52.21481994279857,normal
2016-06-03,26.841339752402902,normal
2016-06-04,37.082265039497955,normal
2016-06-05,36.02500712197782,disturbance
2016-06-06,,disturbance
2016-06-07,,missing
2016-06-08,,missing
2016-06-09,,missing
2016-06-10,,missing
2016-06-11,,missing
2016-06-12,,missing
2016-06-13,31.160907601719288,normal
2016-06-14,40.52986747094147,disturbance
2016-06-15,32.83305813082143,disturbance
2016-06-16,,missing
2016-06-17,,missing
2016-06-18,,missing
2016-06-19,,missing
2016-06-20,,missing
2016-06-21,,missing
2016-06-22,,disturbance
2016-06-23,58.80469996346118,normal
2016-06-24,28.290342110907275,disturbance
2016-06-25,17.953432464297215,normal
2016-06-26,34.04841061840443,disturbance
2016-06-27,34.702970735638395,disturbance
2016-06-28,33.95742330437211,normal
2016-06-29,60.41602039418157,normal
2016-06-30,31.491508396192515,normal
2016-07-01,21.928606202965646,normal
2016-07-02,4.63032286033782,peculiar
2016-07-03,11.669666470812274,normal
2016-07-04,26.844603448189844,normal
2016-07-05,29.73031291249964,normal
2016-07-06,34.87476138261799,normal
2016-07-07,53.07893311224237,disturbance
2016-07-08,33.49381403974064,disturbance
2016-07-09,29.687572485108745,disturbance
2016-07-10,48.96534392379175,normal
2016-07-11,50.621929614731975,normal
2016-07-12,26.022581101522242,disturbance
2016-07-13,19.053029281834796,normal
2016-07-14,,disturbance
2016-07-15,,missing
2016-07-16,,missing
2016-07-17,,missing
