Date,Category,Diff
2016-01-01,disturbance,47.760000000000005
2016-01-02,disturbance,15.469999999999995
2016-01-03,normal,77.79
2016-01-04,normal,64.58
2016-01-05,normal,50.72
2016-01-06,disturbance,68.50999999999999
2016-01-07,disturbance,62.42
2016-01-08,normal,77.41
2016-01-09,normal,66.6
2016-01-10,normal,126.01
2016-01-11,disturbance,73.55
2016-01-12,disturbance,84.95000000000002
2016-01-13,disturbance,49.06999999999999
2016-01-14,normal,106.31
2016-01-15,normal,56.96000000000001
2016-01-16,normal,114.33999999999999
2016-01-17,normal,56.879999999999995
2016-01-18,normal,65.91
2016-01-19,disturbance,12.899999999999999
2016-01-20,disturbance,58.129999999999995
2016-01-21,disturbance,41.3
2016-01-22,disturbance,34.449999999999996
2016-01-23,normal,58.22
2016-01-24,disturbance,84.96000000000001
2016-01-25,normal,40.260000000000005
2016-01-26,normal,57.309999999999995
2016-01-27,normal,53.61
2016-01-28,normal,68.74000000000001
2016-01-29,normal,73.52
2016-01-30,normal,91.53
2016-01-31,disturbance,52.62
2016-02-01,disturbance,50.029999999999994
2016-02-02,disturbance,80.0
2016-02-03,disturbance,34.970000000000006
2016-02-04,normal,60.50999999999999
2016-02-05,normal,87.81
2016-02-06,normal,59.17
2016-02-07,disturbance,90.76
2016-02-08,disturbance,73.05
2016-02-09,disturbance,64.88
2016-02-10,normal,31.689999999999998
2016-02-11,disturbance,81.08
2016-02-12,disturbance,76.25
2016-02-13,disturbance,96.69999999999999
2016-02-14,normal,66.72
2016-02-15,disturbance,56.81
2016-02-16,disturbance,94.4
2016-02-17,disturbance,43.07999999999999
2016-02-18,disturbance,24.080000000000002
2016-02-19,normal,30.4
2016-02-20,missing,nan
2016-02-21,normal,35.01
2016-02-22,normal,95.69999999999999
2016-02-23,normal,56.620000000000005
2016-02-24,normal,63.92999999999999
2016-02-25,normal,96.97999999999999
2016-02-26,missing,nan
2016-02-27,normal,26.989999999999995
2016-02-28,normal,57.129999999999995
2016-02-29,normal,59.300000000000004
2016-03-01,disturbance,20.710000000000008
2016-03-02,normal,73.46000000000001
2016-03-03,normal,72.51
2016-03-04,normal,75.66
2016-03-05,normal,79.34
2016-03-06,disturbance,25.67
2016-03-07,disturbance,32.4
2016-03-08,disturbance,87.53
2016-03-09,normal,101.02000000000001
2016-03-10,normal,74.28000000000002
2016-03-11,disturbance,122.72
2016-03-12,normal,74.56
2016-03-13,normal,90.41999999999999
2016-03-14,disturbance,50.19
2016-03-15,disturbance,25.689999999999998
2016-03-16,disturbance,24.950000000000003
2016-03-17,disturbance,5.710000000000001
2016-03-18,disturbance,57.779999999999994
2016-03-19,disturbance,70.85
2016-03-20,disturbance,21.599999999999994
2016-03-21,disturbance,49.809999999999995
2016-03-22,normal,44.900000000000006
2016-03-23,normal,65.43
2016-03-24,normal,81.4
2016-03-25,normal,56.50000000000001
2016-03-26,normal,75.28
2016-03-27,normal,73.37
2016-03-28,normal,44.900000000000006
2016-03-29,normal,76.32
2016-03-30,disturbance,70.16999999999999
2016-03-31,normal,42.68
2016-04-01,normal,48.790000000000006
2016-04-02,disturbance,33.95
2016-04-03,disturbance,24.169999999999995
2016-04-04,normal,60.49999999999999
2016-04-05,normal,53.949999999999996
2016-04-06,disturbance,67.34
2016-04-07,disturbance,61.10000000000001
2016-04-08,disturbance,58.13999999999999
2016-04-09,normal,72.91999999999999
2016-04-10,normal,54.06
2016-04-11,normal,41.53
2016-04-12,disturbance,24.959999999999994
2016-04-13,disturbance,nan
2016-04-14,disturbance,nan
2016-04-15,disturbance,17.690000000000005
2016-04-16,disturbance,48.77
2016-04-17,disturbance,4.530000000000001
2016-04-18,normal,35.48
2016-04-19,normal,46.31
2016-04-20,normal,65.74
2016-04-21,normal,32.94
2016-04-22,disturbance,36.11
2016-04-23,disturbance,18.090000000000003
2016-04-24,disturbance,nan
2016-04-25,missing,nan
2016-04-26,normal,78.64999999999999
2016-04-27,normal,78.19
2016-04-28,normal,33.6
2016-04-29,normal,31.919999999999995
2016-04-30,normal,43.46999999999999
2016-05-01,disturbance,23.709999999999994
2016-05-02,disturbance,70.55
2016-05-03,disturbance,4.769999999999996
2016-05-04,normal,34.18
2016-05-05,disturbance,51.63
2016-05-06,disturbance,8.549999999999997
2016-05-07,disturbance,79.76
2016-05-08,disturbance,nan
2016-05-09,disturbance,-4.409999999999997
2016-05-10,normal,25.889999999999993
2016-05-11,normal,33.56999999999999
2016-05-12,normal,41.31
2016-05-13,normal,16.85
2016-05-14,disturbance,30.709999999999994
2016-05-15,disturbance,24.500000000000004
2016-05-16,disturbance,32.910000000000004
2016-05-17,normal,64.80000000000001
2016-05-18,normal,41.910000000000004
2016-05-19,disturbance,46.55
2016-05-20,normal,20.770000000000003
2016-05-21,disturbance,49.86000000000001
2016-05-22,peculiar,-10.02
2016-05-23,missing,nan
2016-05-24,normal,24.83
2016-05-25,missing,nan
2016-05-26,peculiar,7.479999999999997
2016-05-27,normal,32.05
2016-05-28,disturbance,24.709999999999994
2016-05-29,normal,18.5
2016-05-30,disturbance,31.54
2016-05-31,normal,11.54
2016-06-01,normal,50.85
2016-06-02,normal,31.83
2016-06-03,normal,60.22
2016-06-04,normal,40.62
2016-06-05,disturbance,70.96000000000001
2016-06-06,disturbance,nan
2016-06-07,normal,17.83
2016-06-08,normal,42.980000000000004
2016-06-09,normal,45.82000000000001
2016-06-10,normal,21.059999999999995
2016-06-11,normal,13.689999999999998
2016-06-12,normal,37.330000000000005
2016-06-13,normal,21.68
2016-06-14,disturbance,4.609999999999996
2016-06-15,disturbance,3.049999999999997
2016-06-16,normal,50.11
2016-06-17,normal,38.669999999999995
2016-06-18,normal,27.949999999999996
2016-06-19,normal,36.06999999999999
2016-06-20,normal,37.489999999999995
2016-06-21,normal,55.510000000000005
2016-06-22,disturbance,50.800000000000004
2016-06-23,normal,16.229999999999997
2016-06-24,disturbance,48.48
2016-06-25,normal,34.19
2016-06-26,disturbance,50.86000000000001
2016-06-27,disturbance,31.649999999999995
2016-06-28,normal,12.339999999999996
2016-06-29,normal,15.719999999999999
2016-06-30,peculiar,-23.209999999999997
2016-07-01,peculiar,6.149999999999999
2016-07-02,missing,nan
2016-07-03,normal,35.41
2016-07-04,normal,17.4
2016-07-05,normal,49.93
